year,race,driver,real_time_seconds,Driver_x,Event,HistAvgGapToPole,Driver_y,DriverOverallAvg,BaselinePredGap,ActualPole2025,ActualGapToPole2025,BaselineError
2025,Australian Grand Prix,ALB,75.737,ALB,Australian Grand Prix,1.6272499999999965,ALB,1.749718446601942,1.6272499999999965,75.096,0.6409999999999911,0.9862500000000054
2025,Australian Grand Prix,ALO,76.288,ALO,Australian Grand Prix,0.7163333333333289,ALO,1.1108,0.7163333333333289,75.096,1.191999999999993,0.47566666666666413
2025,Australian Grand Prix,ANT,76.525,,,,,,,75.096,1.429000000000002,
2025,Australian Grand Prix,BOR,76.516,,,,,,,75.096,1.4200000000000017,
2025,Australian Grand Prix,DOO,76.315,,,,DOO,1.5100000000000051,1.5100000000000051,75.096,1.218999999999994,0.291000000000011
2025,Australian Grand Prix,GAS,75.98,GAS,Australian Grand Prix,1.700249999999997,GAS,1.7837499999999997,1.700249999999997,75.096,0.8840000000000003,0.8162499999999966
2025,Australian Grand Prix,HAD,76.175,,,,,,,75.096,1.0789999999999935,
2025,Australian Grand Prix,HAM,75.919,HAM,Australian Grand Prix,0.5934999999999988,HAM,0.6594803149606296,0.5934999999999988,75.096,0.8229999999999933,0.2294999999999945
2025,Australian Grand Prix,HUL,76.579,HUL,Australian Grand Prix,1.5983333333333338,HUL,1.9244583333333343,1.5983333333333338,75.096,1.4829999999999899,0.11533333333334395
2025,Australian Grand Prix,LAW,77.094,,,,LAW,2.5228181818181836,2.5228181818181836,75.096,1.9979999999999905,0.5248181818181932
2025,Australian Grand Prix,LEC,75.755,LEC,Australian Grand Prix,0.4954999999999963,LEC,0.7576015625000003,0.4954999999999963,75.096,0.6589999999999918,0.16349999999999554
2025,Australian Grand Prix,NOR,75.096,NOR,Australian Grand Prix,1.1099999999999994,NOR,1.0998046875000003,1.1099999999999994,75.096,0.0,1.1099999999999994
2025,Australian Grand Prix,OCO,77.147,OCO,Australian Grand Prix,1.3103333333333371,OCO,1.7903238095238099,1.3103333333333371,75.096,2.051000000000002,0.7406666666666648
2025,Australian Grand Prix,PIA,75.18,PIA,Australian Grand Prix,1.2209999999999965,PIA,0.7748913043478266,1.2209999999999965,75.096,0.08400000000000318,1.1369999999999933
2025,Australian Grand Prix,RUS,75.546,RUS,Australian Grand Prix,1.4960000000000022,RUS,1.7283437499999998,1.4960000000000022,75.096,0.45000000000000284,1.0459999999999994
2025,Australian Grand Prix,SAI,75.931,SAI,Australian Grand Prix,1.0017499999999977,SAI,0.9011746031746035,1.0017499999999977,75.096,0.8349999999999937,0.16675000000000395
2025,Australian Grand Prix,STR,76.369,STR,Australian Grand Prix,1.323999999999998,STR,2.286904,1.323999999999998,75.096,1.2729999999999961,0.05100000000000193
2025,Australian Grand Prix,TSU,75.67,TSU,Australian Grand Prix,1.2653333333333354,TSU,1.9705172413793104,1.2653333333333354,75.096,0.5739999999999981,0.6913333333333374
2025,Australian Grand Prix,VER,75.481,VER,Australian Grand Prix,0.2799999999999976,VER,0.3226587301587303,0.2799999999999976,75.096,0.3849999999999909,0.10499999999999332
2025,Chinese Grand Prix,ALB,91.503,ALB,Chinese Grand Prix,1.581000000000003,ALB,1.749718446601942,1.581000000000003,90.641,0.8619999999999948,0.7190000000000083
2025,Chinese Grand Prix,ALO,91.688,ALO,Chinese Grand Prix,0.48799999999999955,ALO,1.1108,0.48799999999999955,90.641,1.046999999999997,0.5589999999999975
2025,Chinese Grand Prix,ANT,91.103,,,,,,,90.641,0.4619999999999891,
2025,Chinese Grand Prix,BEA,92.018,,,,BEA,3.532333333333336,3.532333333333336,90.641,1.3769999999999953,2.1553333333333407
2025,Chinese Grand Prix,BOR,92.141,,,,,,,90.641,1.5,
2025,Chinese Grand Prix,DOO,92.092,,,,DOO,1.5100000000000051,1.5100000000000051,90.641,1.4509999999999934,0.05900000000001171
2025,Chinese Grand Prix,GAS,91.992,GAS,Chinese Grand Prix,1.5050000000000097,GAS,1.7837499999999997,1.5050000000000097,90.641,1.350999999999999,0.15400000000001057
2025,Chinese Grand Prix,HAD,91.079,,,,,,,90.641,0.4379999999999882,
2025,Chinese Grand Prix,HAM,90.927,HAM,Chinese Grand Prix,0.9679999999999964,HAM,0.6594803149606296,0.9679999999999964,90.641,0.28600000000000136,0.681999999999995
2025,Chinese Grand Prix,HUL,91.632,HUL,Chinese Grand Prix,1.1795000000000044,HUL,1.9244583333333343,1.1795000000000044,90.641,0.9909999999999997,0.18850000000000477
2025,Chinese Grand Prix,LAW,92.174,,,,LAW,2.5228181818181836,2.5228181818181836,90.641,1.5330000000000013,0.9898181818181824
2025,Chinese Grand Prix,LEC,91.021,LEC,Chinese Grand Prix,0.47350000000000136,LEC,0.7576015625000003,0.47350000000000136,90.641,0.37999999999999545,0.09350000000000591
2025,Chinese Grand Prix,NOR,90.787,NOR,Chinese Grand Prix,1.4625000000000057,NOR,1.0998046875000003,1.4625000000000057,90.641,0.1460000000000008,1.3165000000000049
2025,Chinese Grand Prix,OCO,91.625,OCO,Chinese Grand Prix,1.5630000000000024,OCO,1.7903238095238099,1.5630000000000024,90.641,0.9839999999999947,0.5790000000000077
