Driver,Team,Year,Event,DriverNumber,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,LapStartTime,Session,LapTime_sec,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,QualiSegment,IsPushLap,CircuitName,Country,TrackType,Altitude_m,DRSZones,LapSpeedClass,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m,SessionAvgSpeedST,PoleLapTime,GapToPole,SpeedClassNum,IsStreetCircuit,CircuitArchetype,TeamYearStrength,TeamCircuitStrength,DriverDelta,DriverSkillDelta,CompoundPenalty,TyreLifePenalty,TyreConditionScore,TrackTempPenalty,RainfallPenalty,HumidityPenalty,WeatherGripPenalty,NormTrackLength,NormNumCorners,NormCornerDensity,QualiSegmentNum,Sector1Time_s,Sector2Time_s,Sector3Time_s,S1_share,S2_share,S3_share,DriverCircuitAffinity,RelSpeedST,TeamChange,Rolling3Form,YoYImprovement,SampleWeight
SAI,Ferrari,2023,Dutch Grand Prix,55.0,0 days 00:01:11.754000,31.0,0 days 00:00:24.693000,0 days 00:00:25.035000,0 days 00:00:22.026000,SOFT,2.0,True,7.0,276.0,253.0,272.0,311.0,1.0,True,0 days 01:36:32.304000,Q,71.754,0 days 01:36:35.091000,18.9,71.0,1009.2,False,23.8,198.0,1.7,Q3,1.0,Zandvoort,Netherlands,Permanent,2.0,2.0,Medium,4259.0,14.0,0.0032871566095327,304.2142857142857,311.0,70.567,1.1870000000000118,1.0,0,Permanent-Medium,0.4085000000000001,0.5539999999999949,-0.4555000000000007,0.07400000000000517,0.0,0.05,0.05,0.324,0.0,0.105,0.429,-0.8327458519410066,-0.7429799002383637,-0.1777123552044761,3,24.693,25.035,22.026,0.3441341249268333,0.34890040973325526,0.3069654653399113,0.855000000000004,0.0,0,0.847666666666664,-0.24849999999999284,3.5
SAI,Ferrari,2023,Hungarian Grand Prix,55.0,0 days 00:01:17.703000,14.0,0 days 00:00:28.084000,0 days 00:00:27.697000,0 days 00:00:21.922000,MEDIUM,2.0,True,4.0,283.0,249.0,259.0,307.0,1.0,True,0 days 00:53:01.072000,Q,77.703,0 days 00:53:01.725000,26.3,35.0,987.4,False,43.0,296.0,2.4,Q2,1.0,Hungaroring,Hungary,Permanent,150.0,1.0,Slow,4122.248439558155,14.0,0.0033962048152295,230.29459504961537,290.0077519379845,76.609,1.0940000000000083,0.0,0,Permanent-Slow,0.4085000000000001,0.738500000000009,0.35550000000000637,0.07400000000000517,0.4,0.05,0.45,0.0,0.0,0.0,0.0,-0.9990774397082004,-0.7429799002383637,-0.04760497628108983,2,28.084,27.697,21.922,0.36142748671222474,0.35644698402893066,0.2821255292588446,1.1620000000000061,16.992248062015506,0,0.9153333333333364,-0.24849999999999284,3.5
SAI,Ferrari,2023,Italian Grand Prix,55.0,0 days 00:01:20.294000,19.0,0 days 00:00:26.701000,0 days 00:00:26.988000,0 days 00:00:26.605000,SOFT,2.0,True,7.0,323.0,338.0,308.0,347.0,1.0,True,0 days 01:14:10.706000,Q,80.294,0 days 01:14:32.279000,27.9,40.0,999.0,False,38.7,153.0,1.1,Q3,1.0,Monza,Italy,Permanent,120.0,2.0,Fast,5261.551646812222,11.0,0.0020906380357711,436.9389384616605,316.3255813953488,80.294,0.0,2.0,0,Permanent-Fast,0.4085000000000001,0.3189999999999955,-0.03350000000000364,0.07400000000000517,0.0,0.05,0.05,0.025999999999999943,0.0,0.0,0.025999999999999943,0.38666258986472024,-1.5677527631784072,-1.6053002230701332,3,26.701,26.988,26.605,0.33254041397862855,0.3361147781901512,0.3313448078312203,0.8660000000000068,33.67441860465118,0,1.1373333333333402,-0.24849999999999284,3.5
SAI,Ferrari,2023,Japanese Grand Prix,55.0,0 days 00:01:29.850000,13.0,0 days 00:00:31.332000,0 days 00:00:40.564000,0 days 00:00:17.954000,SOFT,2.0,True,5.0,281.0,304.0,267.0,302.0,1.0,True,0 days 01:26:39.262000,Q,89.85,0 days 01:26:44.582000,25.6,47.0,1009.5,False,34.1,280.0,3.7,Q3,1.0,Suzuka,Japan,Permanent,50.0,2.0,Fast,5650.500064177964,18.0,0.0031855587639248,289.1514270568326,302.6478873239437,88.877,0.972999999999999,2.0,0,Permanent-Fast,0.4085000000000001,0.3189999999999955,0.15399999999999636,0.07400000000000517,0.0,0.05,0.05,0.11799999999999998,0.0,0.0,0.11799999999999998,0.8597424407340858,0.3567172503483611,-0.29893057527368244,3,31.332,40.564,17.954,0.3487145242070117,0.451463550361714,0.19982192543127436,0.8660000000000068,1.352112676056322,0,0.7603333333333401,-0.24849999999999284,3.5
SAI,Ferrari,2023,Las Vegas Grand Prix,55.0,0 days 00:01:32.770000,22.0,0 days 00:00:26.157000,0 days 00:00:30.772000,0 days 00:00:35.841000,SOFT,3.0,True,5.0,187.0,216.0,316.0,342.0,1.0,True,0 days 01:14:04.321000,Q,92.77,0 days 01:14:03.156000,15.2,61.0,942.0,False,16.7,0.0,0.0,Q3,1.0,Las Vegas,USA,Street,600.0,2.0,Fast,6353.0,14.0,0.0022036832992287,453.7857142857143,282.5527638190955,92.726,0.04399999999999693,2.0,1,Street-Fast,0.4085000000000001,0.09949999999999903,0.02200000000000557,0.07400000000000517,0.0,0.1,0.1,0.466,0.0,0.055,0.521,1.7141965277960156,-0.7429799002383637,-1.4704238825178961,3,26.157,30.772,35.841,0.2819553735043656,0.3317020588552333,0.386342567640401,0.4475000000000051,62.4472361809045,0,0.6890000000000024,-0.24849999999999284,3.5
SAI,Ferrari,2023,Mexico City Grand Prix,55.0,0 days 00:01:17.233000,13.0,0 days 00:00:27.344000,0 days 00:00:29.900000,0 days 00:00:19.989000,SOFT,2.0,True,5.0,316.0,297.0,254.0,347.0,1.0,True,0 days 01:05:17.845000,Q,77.233,0 days 01:04:48.003000,25.6,26.0,780.0,False,41.6,310.0,1.8,Q3,1.0,Hermanos Rodriguez,Mexico,Permanent,2240.0,2.0,Medium,4309.0,17.0,0.0039452309120445,253.4705882352941,339.66265060240966,77.166,0.06700000000000728,1.0,0,Permanent-Medium,0.4085000000000001,0.5539999999999949,0.03350000000000364,0.07400000000000517,0.0,0.05,0.05,0.0,0.0,0.0,0.0,-0.7719306088718323,0.0817929627016799,0.6074479515566137,3,27.344,29.9,19.989,0.35404555047712766,0.3871402120855075,0.25881423743736487,0.855000000000004,8.337349397590344,0,0.33899999999999864,-0.24849999999999284,3.5
SAI,Ferrari,2023,Miami Grand Prix,55.0,0 days 00:01:27.148000,10.0,0 days 00:00:29.123000,0 days 00:00:33.113000,0 days 00:00:24.912000,SOFT,2.0,True,2.0,225.0,195.0,282.0,332.0,1.0,True,0 days 00:46:34.635000,Q,87.148,0 days 00:46:35.588000,28.3,62.0,1017.5,False,41.0,156.0,3.5,Q3,1.0,Miami,USA,Street,3.0,3.0,Medium,5412.0,19.0,0.003510716925351,284.8421052631579,286.39285714285717,86.814,0.3340000000000032,1.0,1,Street-Medium,0.4085000000000001,0.43599999999999994,0.09199999999999875,0.07400000000000517,0.0,0.05,0.05,0.0,0.0,0.06,0.06,0.5696536532341541,0.6316415379950423,0.08902148545382091,3,29.123,33.113,24.912,0.3341786386377198,0.3799628218662505,0.28585853949602974,0.3340000000000032,46.60714285714283,0,0.3613333333333344,-0.24849999999999284,3.5
SAI,Ferrari,2023,Monaco Grand Prix,55.0,0 days 00:01:11.630000,27.0,0 days 00:00:18.839000,0 days 00:00:33.856000,0 days 00:00:18.935000,SOFT,2.0,True,7.0,219.0,206.0,270.0,281.0,1.0,True,0 days 01:21:28.920000,Q,71.63,0 days 01:21:30.848000,25.1,34.0,1016.0,False,43.9,259.0,0.6,Q3,1.0,Monaco,Monaco,Street,10.0,1.0,Slow,2982.89347053333,19.0,0.0063696542259026,155.08342582215062,254.9688888888889,71.365,0.26500000000000057,0.0,1,Street-Slow,0.4085000000000001,0.09250000000000824,0.07949999999999591,0.07400000000000517,0.0,0.05,0.05,0.0,0.0,0.0,0.0,-2.3848804273745277,0.6316415379950423,3.5000710878223424,3,18.839,33.856,18.935,0.26300432779561633,0.4726511238307972,0.2643445483735865,0.26500000000000057,31.0311111111111,0,0.1483333333333358,-0.24849999999999284,3.5
SAI,Ferrari,2023,Qatar Grand Prix,55.0,0 days 00:01:25.328000,17.0,0 days 00:00:31.476000,0 days 00:00:28.828000,0 days 00:00:25.024000,SOFT,4.0,True,4.0,246.0,289.0,283.0,318.0,1.0,True,0 days 00:52:59.527000,Q,85.328,0 days 00:53:10.406000,31.4,57.0,1006.5,False,34.2,316.0,3.2,Q2,1.0,Losail,Qatar,Permanent,20.0,2.0,Medium,5380.0,16.0,0.0029739776951672,336.25,296.81159420289856,83.778,1.5499999999999972,1.0,0,Permanent-Medium,0.4085000000000001,0.5539999999999949,0.4519999999999982,0.07400000000000517,0.0,0.15000000000000002,0.15000000000000002,0.11599999999999995,0.0,0.035,0.15099999999999997,0.5307318976698825,-0.1931313249450013,-0.5513717604354108,2,31.476,28.828,25.024,0.3688824301518845,0.33784924057753607,0.2932683292705794,0.855000000000004,24.18840579710144,0,0.22200000000000367,-0.24849999999999284,3.5
SAI,Ferrari,2023,Saudi Arabian Grand Prix,55.0,0 days 00:01:28.931000,23.0,0 days 00:00:32.552000,0 days 00:00:28.125000,0 days 00:00:28.254000,SOFT,3.0,True,5.0,290.0,323.0,302.0,329.0,1.0,True,0 days 01:14:35.360000,Q,88.931,0 days 01:14:55.511000,26.7,45.0,1010.7,False,30.8,320.0,1.2,Q3,1.0,Jeddah,Saudi Arabia,Street,15.0,3.0,Fast,6174.0,27.0,0.0043731778425655,228.66666666666663,291.68243243243245,88.265,0.6659999999999968,2.0,1,Street-Fast,0.4085000000000001,0.09949999999999903,0.25549999999999784,0.07400000000000517,0.0,0.1,0.1,0.184,0.0,0.0,0.184,1.4964779576083713,2.8310358391684916,1.1180391446222482,3,32.552,28.125,28.254,0.3660365901654091,0.31625642351935773,0.3177069863152332,0.4475000000000051,40.31756756756755,0,0.7163333333333336,-0.24849999999999284,3.5
