Event,EventAvgTrackTemp,EventAvgHumidity,EventRainProb
70th Anniversary Grand Prix,42.01157894736842,53.234736842105264,0.0
Abu Dhabi Grand Prix,30.474742268041236,63.848109965635736,0.0
Australian Grand Prix,29.545714285714286,56.01443609022556,0.0
Austrian Grand Prix,45.464148527528806,33.44993597951345,0.0
Azerbaijan Grand Prix,36.233183856502244,63.08415545590434,0.0
Bahrain Grand Prix,27.37029288702929,47.01799163179916,0.16666666666666666
Belgian Grand Prix,23.801043219076007,81.59165424739196,0.16666666666666666
Brazilian Grand Prix,34.12641509433962,67.48018867924527,0.0
British Grand Prix,26.515862068965514,73.21497536945813,0.3333333333333333
Canadian Grand Prix,26.696785714285713,68.13571428571429,0.75
Chinese Grand Prix,33.76257309941521,52.270175438596496,0.0
Dutch Grand Prix,28.875675675675677,65.52280405405405,0.25
Eifel Grand Prix,18.10078125,56.08828125,0.0
Emilia Romagna Grand Prix,25.3882,61.9332,0.25
French Grand Prix,51.73636363636364,45.160606060606064,0.0
German Grand Prix,43.916822429906546,51.75327102803739,0.0
Hungarian Grand Prix,37.602745098039215,57.718562091503266,0.16666666666666666
Italian Grand Prix,40.392659053833604,41.9347471451876,0.0
Japanese Grand Prix,31.352996845425867,56.45015772870663,0.0
Las Vegas Grand Prix,15.620997375328084,44.48031496062992,0.0
Mexican Grand Prix,36.46076923076923,57.11769230769231,0.0
Mexico City Grand Prix,44.91299019607843,30.563725490196077,0.0
Miami Grand Prix,47.46104218362283,50.898263027295286,0.0
Monaco Grand Prix,42.651756640959725,56.45381319622965,0.0
Portuguese Grand Prix,36.49775561097257,45.85236907730673,0.0
Qatar Grand Prix,27.82590909090909,60.34818181818182,0.0
Russian Grand Prix,23.405250000000002,69.25399999999999,0.3333333333333333
Sakhir Grand Prix,26.94137931034483,77.33862068965517,0.0
Saudi Arabian Grand Prix,29.815472312703584,58.77540716612378,0.0
Singapore Grand Prix,31.47494692144374,75.4140127388535,0.0
Spanish Grand Prix,38.30105078809107,54.915411558669,0.16666666666666666
Styrian Grand Prix,28.874348697394787,73.6809619238477,0.5
São Paulo Grand Prix,27.23145896656535,85.519452887538,0.5
Turkish Grand Prix,18.375880758807586,85.23062330623306,1.0
Tuscan Grand Prix,45.11333333333334,40.54,0.0
United States Grand Prix,35.407726269315674,32.25055187637969,0.0
